# captured=2026-09-19 startFrom=2025-09-19 minValue=5000000
228996 | C25-0035 | Point Grey Redevelopment Design & Construct | 21 Jan 2026 | 8578936.00 | Great Ocean Road Coast and Parks Authority | Construction Contracts | Building and Facility Construction and Maintenance Services | Bowden Corporation Pty. Ltd. | 55097029993
231292 | RFWORK064. | 2025 064 MHB Decant | 19 Jan 2026 | 7306179.00 | Royal Melbourne Hospital Capital Works | Construction Contracts | Nonresidential building construction services | arete Australia | 49007354396
232588 | CMS111486 | CMS111486 Allflex Australia - Supply of NLIS (Sheep and Goat) tags to Victoria. | 16 Jan 2026 | 15000000.00 | Department of Energy, Environment & Climate Action | Purchases of Goods/Services | Livestock services | Allflex Australia | 61005237472
229567 | GW576 | DN600 GRP Pipe SWOP Replacement | 15 Jan 2026 | 17740670.64 | Gippsland Water | Construction Contracts | Water and sewer utilities | McInnes Earthmoving Pty Ltd | 73134195207
228863 | DOT40275 | Safety Improvements (Pavement Widening) on the Murchison-Violet Town Road betwee | 15 Jan 2026 | 8046500.00 | DoT Roads | Construction Contracts | Roads and landscape | Bild Infrastructure | 78099996344
230516 | VN1000798 | 2023/24 CW Cobden Technical School | 12 Jan 2026 | 5152003.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | Fairbrother Constructions | 51009510561
229087 | DOT41707 | Road Spray Sealing | 12 Jan 2026 | 5442090.50 | Department of Transport and Planning (DTP) | Construction Contracts | Asphalts | SprayLine Road Services | 97481088949
229364 | GORCOEIHDCS2025 | The Gordon – Centre of Excellence for Inclusion in Health, Disability and Commun | 12 Jan 2026 | 28011741.00 | The Gordon | Construction Contracts | Education and Training Services | Kane Constructions Pty Ltd | 49007354396
228347 | CWFY2024S3754 | Hampton Primary School 2023-24, Stage 1 | 12 Jan 2026 | 6167835.30 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | Merkon | 45006587319
229219 | 2025FACO003.03 | SWTAFE - Building Innovation & Design Centre Head Contractor | 8 Jan 2026 | 9017435.00 | South West Institute of Tafe | Construction Contracts | Building and Facility Construction and Maintenance Services | Fairbrother Constructions | 51009510561
